date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:28	347/347	---M--	404	error ('Not%20Found')	text/html	etag:%22651a69a0-15b%22	https://webfolio.neocities.org/robots.txt		(from )
14:33:28	26975/26975	---MCZ	200	added ('OK')	text/html	etag:W/%2266c01ce5-695f%22	https://webfolio.neocities.org/Daniel/	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/index.html	(from )
14:33:28	2418/2418	---M--	200	added ('OK')	image/png	etag:%226622d685-972%22	https://webfolio.neocities.org/Daniel/assets/img/favicon.png	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/img/favicon.png	(from https://webfolio.neocities.org/Daniel/)
14:33:29	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%226622d6a9-38d63%22	https://webfolio.neocities.org/Daniel/assets/css/bootstrap.min.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/bootstrap.min.css	(from https://webfolio.neocities.org/Daniel/)
14:33:29	103009/103009	---MCZ	200	added ('OK')	text/css	etag:W/%226622d6a6-19261%22	https://webfolio.neocities.org/Daniel/assets/css/fontawesome-all.min.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/fontawesome-all.min.css	(from https://webfolio.neocities.org/Daniel/)
14:33:29	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%226622d6a9-1b27%22	https://webfolio.neocities.org/Daniel/assets/css/magnific-popup.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/magnific-popup.css	(from https://webfolio.neocities.org/Daniel/)
14:33:29	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%226622d6a3-e311%22	https://webfolio.neocities.org/Daniel/assets/css/animate.min.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/animate.min.css	(from https://webfolio.neocities.org/Daniel/)
14:33:29	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%226622d6a3-d17%22	https://webfolio.neocities.org/Daniel/assets/css/owl.carousel.min.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/owl.carousel.min.css	(from https://webfolio.neocities.org/Daniel/)
14:33:30	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%226622d6aa-3f5%22	https://webfolio.neocities.org/Daniel/assets/css/owl.theme.default.min.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/owl.theme.default.min.css	(from https://webfolio.neocities.org/Daniel/)
14:33:30	13886/13886	---MCZ	200	added ('OK')	text/css	etag:W/%226622d920-363e%22	https://webfolio.neocities.org/Daniel/assets/css/main.css	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/css/main.css	(from https://webfolio.neocities.org/Daniel/)
14:33:30	347/347	---M--	404	error ('Not%20Found')	text/html	etag:%22651a69a0-15b%22	https://webfolio.neocities.org/Daniel/Daniel%20Smith|Web%20Designer|Graphic%20Designer	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/Daniel%20Smith_Web%20Designer_Graphic%20Designer	(from https://webfolio.neocities.org/Daniel/)
14:33:30	15/15	---M--	200	added ('OK')	text/plain	etag:%226622d680-f%22	https://webfolio.neocities.org/Daniel/cv.txt	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/cv.txt	(from https://webfolio.neocities.org/Daniel/)
14:33:31	1464000/1464000	---M--	200	added ('OK')	image/png	etag:%226622d6cc-1656c0%22	https://webfolio.neocities.org/Daniel/assets/img/portfolio/1.png	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/img/portfolio/1.png	(from https://webfolio.neocities.org/Daniel/)
14:33:31	1577978/1577978	---M--	200	added ('OK')	image/png	etag:%226622d6c4-1813fa%22	https://webfolio.neocities.org/Daniel/assets/img/portfolio/2.png	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/img/portfolio/2.png	(from https://webfolio.neocities.org/Daniel/)
14:33:32	403379/403379	---M--	200	added ('OK')	image/png	etag:%226622d6c1-627b3%22	https://webfolio.neocities.org/Daniel/assets/img/portfolio/3.png	C:/Users/CS%20139/Desktop/PortafolioFrida/webfolio.neocities.org/Daniel/assets/img/portfolio/3.png	(from https://webfolio.neocities.org/Daniel/)
